ShortName,FullName,LicensingAndAccreditation,EducationalServices,ReorganizationStatus,IDEKIS,Number,InstitutionsAddresses,INN,KPP,OGRN,LegalOrganization,Subordination,ChiefName,LegalAddress,global_id,PublicPhone,Email,WebSite,EducationPrograms,OrgType,NumberofStudentsInOO,TheContingentOfPreschoolersStudyingOO,geodata_center,geoarea
ГБОУ школа № 1416,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1416 «Лианозово»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004584
AccreditationExpires:14.10.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13816,1416,More then 1 level,7715310719,771501001,1037700013251,бюджетное,Городское подчинение ДОНМ,Мерзликин Александр Юрьевич,"127576, ГОРОД МОСКВА, УЛИЦА НОВГОРОДСКАЯ, 8",1102902051,"PublicPhone:(499) 200-95-66

","Email:1416@edu.mos.ru

",sch1416sv.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:1514
Date:09.03.2021

","PupilsQuantity:729
Date:09.03.2021

",0101000000F0FA846569CA42400CE068D25FF24B40,
ГБОУ Образовательный центр «Протон»,Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр «Протон»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004689
AccreditationExpires:14.05.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13883,,More then 1 level,7730160480,773001001,1027700536126,бюджетное,Городское подчинение ДОНМ,Караханова Самира Ханларовна,"121601, ГОРОД МОСКВА, БУЛЬВАР ФИЛЁВСКИЙ, ДОМ 3, КОРПУС 2",1102902052,"PublicPhone:(499) 145-19-63

","Email:proton@edu.mos.ru

",proton.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:3566
Date:09.03.2021

","PupilsQuantity:1588
Date:09.03.2021

",010100000004404DB0D1BF424045CC08F7B1DF4B40,
ГБОУ школа № 338,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 338 имени Героя Советского Союза А.Ф. Авдеева»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004930
AccreditationExpires:31.01.2032

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13789,338,More then 1 level,7723187113,775101001,1037739421081,бюджетное,Городское подчинение ДОНМ,Андрианова Мария Петровна,"108803, ГОРОД МОСКВА, ПОСЕЛЕНИЕ ВОСКРЕСЕНСКОЕ, ПОСЕЛОК ВОСКРЕСЕНСКОЕ, ДОМ 37А",1102902053,"PublicPhone:(495) 264-50-07

","Email:338@edu.mos.ru

",sch338tn.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2986
Date:09.03.2021

","PupilsQuantity:1154
Date:09.03.2021

",0101000000762EDED4BEB942401852DF7722C44B40,
ГБОУ школа № 1476,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1476»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004692
AccreditationExpires:28.05.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13796,1476,More then 1 level,7719882717,771901001,1147746745585,бюджетное,Городское подчинение ДОНМ,Пименова Елена Владимировна,"105568, г. Москва, ул. Челябинская, дом 20",1102902054,"PublicPhone:(499) 308-00-29

","Email:1476@edu.mos.ru

",gym1476.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:1344
Date:09.03.2021

","PupilsQuantity:521
Date:09.03.2021

",01010000001CC147486FEA42403474557379E34B40,
ГБОУ школа № 1231,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1231 имени В.Д. Поленова»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0011721
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004623
AccreditationExpires:24.11.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13819,1231,More then 1 level,7704222926,770401001,1037739439319,бюджетное,Городское подчинение ДОНМ,Тиунова Виктория Викторовна,"119002, ГОРОД МОСКВА, ПЕРЕУЛОК СПАСОПЕСКОВСКИЙ, 6, СТР.7",1102902055,"PublicPhone:(499) 241-43-84

","Email:1231@edu.mos.ru

",sch1231.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:3457
Date:09.03.2021

","PupilsQuantity:1243
Date:09.03.2021

",01010000004A5B9C9E50CA4240450766EFF9DE4B40,
ГБОУ «Школа Глория»,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Глория»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004633
AccreditationExpires:16.03.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13913,,More then 1 level,7715894310,771501001,1117746979327,бюджетное,Городское подчинение ДОНМ,Патрикеева Ирина Джолдошевна,"127543, ГОРОД МОСКВА, УЛИЦА БЕЛОЗЕРСКАЯ, 12",1102902056,"PublicPhone:(495) 707-07-62

","Email:gloria@edu.mos.ru

",gsg.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:3466
Date:09.03.2021

","PupilsQuantity:1393
Date:09.03.2021

",0101000000EBF0056CE0CE42406C820194A2F24B40,
ГБОУ школа № 587,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 587»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004172
AccreditationExpires:16.06.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13320,587,More then 1 level,7731173386,773101001,1037739246775,бюджетное,Городское подчинение ДОНМ,Тихомирова Екатерина Сергеевна,"121471, г. Москва, Можайское ш., д. 18, корп. 2",1102902057,"PublicPhone:(495) 444-27-14

","Email:587@edu.mos.ru

",sch587.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:1088
Date:09.03.2021

","PupilsQuantity:445
Date:09.03.2021

",010100000033CEAD83EFB6424080D4822961DC4B40,
ГБОУ школа № 1948,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1948 «Лингвист-М»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004195
AccreditationExpires:26.01.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13324,1948,More then 1 level,7727809855,772701001,1137746636455,бюджетное,Городское подчинение ДОНМ,Микаелян Гарри Суренович,"117420, ГОРОД МОСКВА, УЛИЦА НОВОЧЕРЁМУШКИНСКАЯ, 64, 2",1102902058,"PublicPhone:(495) 331-39-72

","Email:1948@edu.mos.ru

",sch1948uz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2102
Date:09.03.2021

","PupilsQuantity:595
Date:09.03.2021

",01010000006AD42AB596C94240202508FB10D54B40,
ГБОУ школа № 2072,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2072»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004531
AccreditationExpires:26.01.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13772,2072,More then 1 level,7720792271,772001001,1137746883097,бюджетное,Городское подчинение ДОНМ,Сачкова Наталья Владимировна,"111394, ГОРОД МОСКВА, УЛИЦА УТРЕННЯЯ, ДОМ 12",1102902059,"PublicPhone:(495) 306-45-20

","Email:2072@edu.mos.ru

",sch2072v.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:1664
Date:09.03.2021

","PupilsQuantity:911
Date:09.03.2021

",0101000000F7C1D83EE4E54240B68F20A9B4DF4B40,
ГБОУ школа «Марьино»,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Марьино» имени маршала авиации А.Е. Голованова»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004495
AccreditationExpires:22.01.2028

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13773,,More then 1 level,7723918412,772301001,1147746962285,бюджетное,Городское подчинение ДОНМ,Сарбеева Яна Юрьевна,"109651, ГОРОД МОСКВА, ПРОЕЗД БАТАЙСКИЙ, 21",1102902060,"PublicPhone:(499) 357-72-11

","Email:Maryno@edu.mos.ru

",maryno.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2065
Date:09.03.2021

","PupilsQuantity:1143
Date:09.03.2021

",010100000003BDC05961DB42408770004459D34B40,
ГБОУ школа № 1541,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1541»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004713
AccreditationExpires:03.04.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13770,1541,More then 1 level,7729400426,772901001,1027700532090,бюджетное,Городское подчинение ДОНМ,Уцыка Татьяна Емельяновна,"119415, город Москва, Проспект Вернадского, д. 55",1102902061,"PublicPhone:(499) 431-04-22

","Email:1541@edu.mos.ru

",gym1541.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование,общеобразовательная организация,"PupilsQuantity:1972
Date:09.03.2021

","PupilsQuantity:599
Date:09.03.2021

",0101000000328304505FC14240FCC8BE0A13D64B40,
ГБОУ школа № 629,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 629»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004164
AccreditationExpires:15.12.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13439,629,More then 1 level,7726180596,772601001,1027700400826,бюджетное,Городское подчинение ДОНМ,Зайкова Светлана Леонидовна,"117405, г. Москва, Варшавское шоссе, д. 156 Б",1102902062,"PublicPhone:(495) 386-12-59

","Email:629@edu.mos.ru

",sch629u.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:1648
Date:09.03.2021

","PupilsQuantity:944
Date:09.03.2021

",01010000004ABC014F07CC42409024D278A7CB4B40,
ГБОУ школа имени Маяковского,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа имени В.В. Маяковского»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004684
AccreditationExpires:31.05.2023

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13741,,More then 1 level,7723103106,772301001,1037700259080,бюджетное,Городское подчинение ДОНМ,Львова Елена Васильевна,"77, , 115088, ГОРОД, МОСКВА, УЛИЦА, ДУБРОВСКАЯ 1-Я, ДОМ 16",1102902063,"PublicPhone:(495) 674-06-09

","Email:mayak@edu.mos.ru

",mayak.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2497
Date:09.03.2021

","PupilsQuantity:774
Date:09.03.2021

",01010000007AA1DD052AD64240A3B5206AC2DB4B40,
ГБОУ школа № 1987,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1987»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77A01
AccreditationNumber:0004546
AccreditationExpires:03.04.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13700,1987,More then 1 level,7723329921,772301001,1037723008762,бюджетное,Городское подчинение ДОНМ,Швец Елена Викторовна,"109469, ГОРОД МОСКВА, УЛИЦА БЕЛОРЕЧЕНСКАЯ, ДОМ 36, КОРПУС 1",1102902064,"PublicPhone:(495) 347-45-54

","Email:1987@edu.mos.ru

",sch1987uv.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2119
Date:09.03.2021

","PupilsQuantity:1107
Date:09.03.2021

",01010000005E50F7EADFE242406B708BBD3FD44B40,
ГБОУ школа № 1210,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1210»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004778
AccreditationExpires:16.02.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13831,1210,More then 1 level,7734248978,773401001,1027739886778,бюджетное,Городское подчинение ДОНМ,Кошелев Евгений Владимирович,"123098, город Москва, улица Гамалеи, дом 17, корпус 1",1102902065,"PublicPhone:(495) 800-12-10

","Email:1210@edu.mos.ru

",sch1210sz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2595
Date:09.03.2021

","PupilsQuantity:1119
Date:09.03.2021

",01010000005C61499286BA42404EEB1AD87AE64B40,
ГБОУ школа № 1228 «Лефортово»,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1228 «Лефортово»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004686
AccreditationExpires:20.01.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13730,1228,More then 1 level,7722006029,772201001,1027700583877,бюджетное,Городское подчинение ДОНМ,Зинкевич Ирина Витальевна,"111024, г. Москва,ул. Авиамоторная, д.42",1102902066,"PublicPhone:(495) 673-10-64

","Email:1228@edu.mos.ru

",sch1228.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2977
Date:09.03.2021

","PupilsQuantity:1241
Date:09.03.2021

",0101000000D2C4D2209EDA42401E3BEC7FBDE14B40,
ГБОУ школа № 1514,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1514»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004780
AccreditationExpires:16.03.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13774,1514,More then 1 level,7736076587,773601001,1037739031164,бюджетное,Городское подчинение ДОНМ,Белова Анна Викторовна,"119311, ГОРОД МОСКВА, УЛИЦА КРУПСКОЙ, ДОМ 12",1102902067,"PublicPhone:(499) 131-80-38

","Email:1514@edu.mos.ru

",gym1514uz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:4939
Date:09.03.2021

","PupilsQuantity:1847
Date:09.03.2021

",0101000000EED60FA0FDC24240BEEDA2D596D54B40,
ГБОУ школа № 1528,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1528» имени Героя Советского Союза И.В. Панфилова,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004574
AccreditationExpires:31.10.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13807,1528,More then 1 level,7735062743,773501001,1027739327560,бюджетное,Городское подчинение ДОНМ,Слесарев Андрей Сергеевич,"124527, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, 817",1102902068,"PublicPhone:(499) 731-55-50

","Email:1528@edu.mos.ru

",gym1528zg.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:3506
Date:09.03.2021

","PupilsQuantity:1688
Date:09.03.2021

",0101000000F449540AF69942402C3B090191FC4B40,
ГБОУ школа № 1550,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1550»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004654
AccreditationExpires:31.10.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13876,1550,More then 1 level,7714199190,771401001,1037739383373,бюджетное,Городское подчинение ДОНМ,Зазулин Александр Владимирович,"125284, ГОРОД МОСКВА, УЛИЦА БЕГОВАЯ, 19",1102902069,"PublicPhone:(495) 945-86-00

","Email:1550@edu.mos.ru

",lyc1550.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:594
Date:09.03.2021

","PupilsQuantity:395
Date:09.03.2021

",0101000000167E18E260C7424066FA5B5B2CE44B40,
ГБОУ школа № 1273,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1273»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004672
AccreditationExpires:20.01.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13781,1273,More then 1 level,7728229720,772801001,1027739486059,бюджетное,Городское подчинение ДОНМ,Айнуллин Рушан Сафаевич,"117647, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА КАПИЦЫ, ДОМ 12",1102902070,"PublicPhone:(495) 420-15-00

","Email:1273@edu.mos.ru

",sch1273uz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2021
Date:09.03.2021

","PupilsQuantity:575
Date:09.03.2021

",01010000005AC9CF6BEDC2424033ED0BFA6BD04B40,
ГБОУ школа «Свиблово»,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Свиблово»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77A01
AccreditationNumber:0004632
AccreditationExpires:27.11.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13858,,More then 1 level,7716530474,771601001,1057747734901,бюджетное,Городское подчинение ДОНМ,Грабовский Андрей Иванович,"129323, ГОРОД МОСКВА, УЛИЦА СЕДОВА, 4, 1",1102902071,"PublicPhone:(495) 656-60-81

","Email:tok-sviblovo@edu.mos.ru

",gym-sviblovo.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:4039
Date:09.03.2021

","PupilsQuantity:2186
Date:09.03.2021

",0101000000587687299DD24240833C16D450ED4B40,
ГБОУ школа № 89,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 89 имени А.П. Маресьева»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004166
AccreditationExpires:14.04.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13389,89,More then 1 level,7734230995,773401001,1037739225809,бюджетное,Городское подчинение ДОНМ,Докалюк Светлана Николаевна,"123592, ГОРОД МОСКВА, УЛИЦА КУЛАКОВА, ДОМ 12, КОРП 2",1102902072,"PublicPhone:(495) 758-91-15

","Email:89@edu.mos.ru

",sch89sz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:628
Date:09.03.2021

","PupilsQuantity:451
Date:09.03.2021

",0101000000E41C56E688B242407CDA073EBCE74B40,
ГБОУ школа № 1383,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1383»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004549
AccreditationExpires:03.04.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13694,1383,More then 1 level,7713338324,771301001,1037713008915,бюджетное,Городское подчинение ДОНМ,Камарзина Татьяна Владимировна,"127474, ГОРОД МОСКВА, УЛИЦА ДУБНИНСКАЯ, 7",1102902073,"PublicPhone:(499) 481-62-50

","Email:1383@edu.mos.ru

",sch1383.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:1325
Date:09.03.2021

","PupilsQuantity:512
Date:09.03.2021

",01010000007167E04D7CC842407C5562F2FDED4B40,
ГБОУ школа № 1568,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1568 имени Пабло Неруды»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004760
AccreditationExpires:15.12.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13900,1568,More then 1 level,7715969660,771501001,1137746596316,бюджетное,Городское подчинение ДОНМ,Кулешов Виктор Петрович,"127221, г. Москва, проезд Шокальского, дом 7, корпус 2",1102902074,"PublicPhone:(495) 656-83-04

","Email:1568@edu.mos.ru

",lyc1568.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2980
Date:09.03.2021

","PupilsQuantity:1320
Date:09.03.2021

",0101000000B26E598C45D24240E273BFA505F04B40,
